stop_id,stop_name,stop_lat,stop_lon,zone_id
86,"FEITAL I",41.559964,-8.446592,1
87,"MOUQUIM",41.558800,-8.368581,1
88,"SOUTO I",41.498675,-8.468225,2
90,"DUME (ENTRE-PORTAS II)",41.579789,-8.439883,1
91,"PATEIRA I",41.573167,-8.452675,2
92,"RAMOA",41.570961,-8.452098,2
93,"PATEIRA III",41.579128,-8.453290,2
94,"CARMO I (CAPELA)",41.582044,-8.453932,2
95,"PRESA I",41.590121,-8.458573,2
96,"PRESA II",41.592657,-8.460386,2
97,"CABANAS",41.559283,-8.418563,1
98,"CONFEITEIRA I (ESCOLA PROFISSIONAL)",41.564234,-8.419880,1
99,"ENTRE-PORTAS I",41.575694,-8.439958,1
100,"RECTA FEITAL II",41.563278,-8.442287,1
101,"RECTA FEITAL I",41.564854,-8.440356,1
102,"S FRUTUOSO (CARCAVELOS)",41.567382,-8.437693,1
103,"S ROSENDO (DUME)",41.567923,-8.434312,1
104,"ALFREDO J SOUSA I",41.570067,-8.430705,1
105,"JOGO DA BOLA",41.571714,-8.429666,1
106,"MANUEL J MACHADO I",41.572702,-8.424802,1
107,"CONFEITEIRA III",41.570956,-8.423173,1
108,"CONFEITEIRA II (CABANAS)",41.565928,-8.420475,1
109,"MANUEL J MACHADO II ",41.572474,-8.428265,1
110,"LIBERDADE (25 DE ABRIL)",41.547803,-8.421009,1
111,"LIBERDADE (IGREJA S LÁZARO I)",41.546857,-8.420460,1
112,"SOUTO II",41.499653,-8.469950,2
116,"25 DE ABRIL (PARQUE INFANTIL)",41.547932,-8.419246,1
117,"25 DE ABRIL (D MARIA II - I)",41.548348,-8.418777,1
118,"SENHORA-A-BRANCA",41.551832,-8.416798,1
119,"S VICTOR",41.552387,-8.414614,1
120,"D PEDRO V - I ",41.552909,-8.411800,1
121,"D PEDRO V - II",41.554822,-8.408511,1
122,"D PEDRO V - II",41.554824,-8.407878,1
123,"D PEDRO V - I",41.552808,-8.412279,1
124,"S VICTOR",41.552323,-8.415117,1
125,"NOVA SANTA CRUZ (QTA ARMADA)",41.555024,-8.404552,1
128,"NOVA SANTA CRUZ",41.555680,-8.402188,1
130,"NOVA SANTA CRUZ (LUSÍADAS)",41.556693,-8.400275,1
132,"NOVA SANTA CRUZ (UM)",41.557814,-8.398551,1
133,"QUINTA ARMADA (ROSALVO ALMEIDA)",41.556964,-8.403508,1
135,"QUINTA ARMADA (B ALEGRIA)",41.562847,-8.403839,1
136,"FERNANDO O GUIMARÃES I",41.560313,-8.406238,1
137,"RECTA FEITAL IV",41.560743,-8.445401,1
138,"FERNANDO O GUIMARÃES II",41.561007,-8.404357,1
139,"SANTO ANTÓNIO II",41.564186,-8.497150,2
140,"JÚLIO FRAGATA I ",41.556264,-8.406979,1
141,"JÚLIO FRAGATA II",41.559570,-8.407222,1
142,"JÚLIO FRAGATA III ",41.559312,-8.407633,1
143,"JÚLIO FRAGATA IV ",41.556998,-8.407299,1
144,"CENTRAL III",41.551866,-8.421146,1
145,"SANTO ANTÓNIO II",41.564144,-8.497003,2
146,"CENTRAL I",41.551870,-8.419851,1
147,"CENTRAL II",41.551863,-8.420860,1
148,"BELA VISTA III",41.571917,-8.372094,1
149,"BEATO M CARVALHO (RESTAURAÇÃO)",41.550651,-8.414910,1
150,"BERNARDO SEQUEIRA",41.548802,-8.410065,1
151,"BERNARDO SEQUEIRA",41.548766,-8.410171,1
152,"SANTA TECLA",41.547313,-8.409101,1
153,"JAIME SOTTO MAYOR",41.547389,-8.408522,1
154,"ANTÓNIO PALHA II",41.548152,-8.403820,1
155,"ANTÓNIO PALHA II",41.548340,-8.403860,1
156,"PASCOAL FERNANDES",41.546553,-8.402573,1
157,"PARQUE IND SOBREPOSTA II",41.560639,-8.349847,2
158,"PARQUE IND SOBREPOSTA I",41.558714,-8.349653,2
159,"PARQUE IND SOBREPOSTA I",41.558708,-8.349517,2
160,"PASCOAL FERNANDES",41.546708,-8.402841,1
161,"NUNO PEREIRA III",41.501464,-8.489264,2
163,"QUINTA ARMADA (B ALEGRIA)",41.562853,-8.403886,1
164,"NUNO PEREIRA III",41.501500,-8.489325,2
165,"RAIO (SENHORA-A-BRANCA)",41.551279,-8.417666,1
166,"RAIO (NOVAIS E SOUSA)",41.549974,-8.419862,1
167,"QUINTA ARMADA (ESCOLA)",41.564083,-8.403669,1
168,"MAGALHAES LIMA II",41.534964,-8.433172,1
169,"MACHADO OWEN (SIMÕES ALMEIDA)",41.541094,-8.408208,1
170,"MACHADO OWEN (SIMÕES ALMEIDA)",41.541042,-8.408378,1
171,"MACHADO OWEN (RESIDÊNCIA UM II)",41.544551,-8.407317,1
172,"MAGALHAES LIMA II",41.534894,-8.433203,1
173,"MAGALHAES LIMA I",41.535722,-8.432856,1
174,"NASCENTE",41.545715,-8.408008,1
175,"31 DE JANEIRO (RIO ESTE)",41.546101,-8.413264,1
176,"31 DE JANEIRO (SEG SOCIAL)",41.547684,-8.414384,1
177,"MAGALHAES LIMA I",41.535778,-8.432994,1
180,"5 DE OUTUBRO",41.537114,-8.432039,1
181,"MONTE II",41.562731,-8.487442,2
182,"SIMÕES ALMEIDA II (B D PACHECO)",41.541077,-8.408699,1
183,"MANUEL GUIMARAES",41.560003,-8.435003,1
184,"CONS TORRES ALMEIDA I",41.551969,-8.427839,1
185,"CONDE AGROLONGO II",41.552817,-8.426919,1
186,"CONDE AGROLONGO I",41.552809,-8.427145,1
187,"S JERÓNIMO",41.560322,-8.436028,1
188,"HOSPITAL (PARQUE)",41.567578,-8.399736,1
189,"FEIRA (VARIANTE)",41.555821,-8.434444,1
190,"ANTÓNIO J LISBOA I",41.556680,-8.436493,1
191,"ANTÓNIO J LISBOA II",41.557560,-8.434298,1
192,"ANTÓNIO J LISBOA III",41.559132,-8.433296,1
193,"S MARTINHO (ESTÁDIO)",41.564134,-8.432605,1
194,"S MARTINHO (PASSAL)",41.566219,-8.433296,1
195,"CÓNEGO INSUELAS ",41.569586,-8.434569,1
196,"REGO",41.571491,-8.434401,1
197,"ENTRE-PORTAS I ",41.575651,-8.439870,1
198,"DUME (ENTRE-PORTAS II)",41.579816,-8.439791,1
199,"ENTRE-PORTAS III",41.581441,-8.440362,1
200,"TRAVESSAS",41.583247,-8.432391,1
201,"CAMINHO LAMAS I",41.580633,-8.432270,1
202,"DUME (GONTIJO)",41.574486,-8.432857,1
203,"ANTÓNIO A REIS I ",41.572989,-8.431711,1
204,"ANTÓNIO A REIS II ",41.571506,-8.430565,1
205,"JOSÉ DA CUNHA",41.559500,-8.435667,1
206,"ALFREDO J SOUSA II",41.568205,-8.433298,1
207,"S MARTINHO (ESTÁDIO)",41.563938,-8.432782,1
208,"ANTÓNIO J LISBOA III",41.559132,-8.433408,1
209,"ANTÓNIO J LISBOA II",41.557657,-8.434437,1
210,"ANTÓNIO J LISBOA I",41.556708,-8.436590,1
211,"MACHADO OWEN (B D PACHECO)",41.542325,-8.407565,1
212,"MACHADO OWEN (B D PACHECO)",41.542303,-8.407481,1
213,"FEIRA (VARIANTE)",41.555628,-8.434175,1
214,"FEIRA (PARRETAS)",41.555552,-8.430753,1
215,"ANDRÉ SOARES I",41.546648,-8.417320,1
216,"ANDRÉ SOARES II",41.547647,-8.414965,1
217,"FÁBRICA IMPÉRIO ",41.562140,-8.350050,2
218,"BOSCH/DELPHI (BAIA)",41.535115,-8.436851,1
219,"BISCAINHOS",41.550476,-8.429557,1
220,"ÓRFÃOS S CAETANO (S GREGÓRIO)",41.543679,-8.442644,1
221,"5 DE OUTUBRO",41.537033,-8.432167,1
222,"GUALTAR I",41.560420,-8.394324,1
223,"IMAC CONCEIÇÃO (FUJACAL)",41.545097,-8.423737,1
224,"IMAC CONCEIÇÃO (COLINA)",41.543933,-8.428011,1
225,"IMAC CONCEIÇÃO (STO CONDESTÁVEL)",41.543167,-8.429874,1
226,"IMAC CONCEIÇÃO (STO CONDESTÁVEL)",41.542521,-8.430801,1
227,"IMAC CONCEIÇÃO (COLINA)",41.543809,-8.427797,1
228,"IMAC CONCEIÇÃO (FUJACAL)",41.544591,-8.425165,1
229,"CIDADE PORTO I ",41.539102,-8.433800,1
230,"CIDADE PORTO II",41.537382,-8.435150,1
231,"CIDADE PORTO III",41.534837,-8.437046,1
232,"CIDADE PORTO II",41.537332,-8.435039,1
233,"CIDADE PORTO I",41.540092,-8.432893,1
234,"SANTA MARGARIDA (CAMÕES)",41.554140,-8.416949,1
235,"SANTA MARGARIDA (SÁ DE MIRANDA)",41.556972,-8.417298,1
236,"SANTA MARGARIDA (CAMÕES)",41.553830,-8.417063,1
237,"SANTA MARGARIDA (SÁ DE MIRANDA)",41.556685,-8.417326,1
238,"CONS BENTO MIGUEL ",41.557680,-8.416523,1
239,"MONTE D' ARCOS",41.557780,-8.413929,1
240,"MONTE D' ARCOS",41.557865,-8.413999,1
241,"AGRAS (IGREJA)",41.482183,-8.446594,2
242,"SEARA",41.473114,-8.438311,2
243,"LOUREIRO AMORIM",41.559064,-8.414804,1
244,"AREAL CIMA I",41.562570,-8.412535,1
245,"AREAL CIMA II",41.564928,-8.411897,1
246,"AREAL CIMA III",41.566387,-8.410823,1
247,"AREAL CIMA IV",41.567755,-8.408997,1
248,"RAFAEL B PINHEIRO I",41.569631,-8.406967,1
249,"RAFAEL B PINHEIRO II",41.571105,-8.405932,1
250,"RAFAEL B PINHEIRO III",41.572317,-8.402629,1
251,"SETE FONTES I",41.573752,-8.401661,1
252,"SETE FONTES II",41.575446,-8.400309,1
253,"SETE FONTES II ",41.575460,-8.400457,1
254,"SETE FONTES I",41.573832,-8.401737,1
255,"RAFAEL B PINHEIRO III",41.572159,-8.403374,1
256,"SEARA",41.473047,-8.438167,2
257,"LIBERDADE (CARANDÁ I)",41.545334,-8.419593,1
258,"LIBERDADE (CARANDÁ II) ",41.545097,-8.419459,1
259,"LIBERDADE (PONTE)",41.542402,-8.417889,1
260,"LIBERDADE (CARANDÁ)",41.545324,-8.419307,1
261,"LIBERDADE (IGREJA S LÁZARO)",41.546674,-8.420123,1
262,"HOSPITAL",41.568997,-8.401908,1
263,"LIBERDADE (PONTE)",41.542852,-8.417813,1
264,"VIRIATO A NUNES I",41.538040,-8.419515,1
265,"VIRIATO A NUNES II",41.537995,-8.421544,1
266,"PINHEIRO (P GREGÓRIA)",41.535425,-8.421951,1
267,"PINHEIRO I",41.534750,-8.419410,1
268,"PINHEIRO II",41.533886,-8.416962,1
269,"AGRINHA I",41.531634,-8.415900,1
270,"PINHEIRO II",41.533956,-8.416891,1
271,"PINHEIRO I",41.534772,-8.419310,1
272,"CACHADA II",41.477728,-8.513783,2
273,"VIRIATO A NUNES II",41.537557,-8.422930,1
274,"BOMBEIROS VOLUNTÁRIOS",41.546192,-8.427820,1
275,"CARMO (MERCADO)",41.554076,-8.426252,1
276,"BARROS E SOARES III",41.531922,-8.418853,1
277,"BARROS E SOARES II",41.534413,-8.420615,1
278,"MOUTA III",41.533042,-8.429841,1
279,"MOUTA II",41.534244,-8.429869,1
280,"MOUTA I",41.535851,-8.429446,1
281,"COUTEIRO",41.539110,-8.428085,1
282,"CONS LOBATO (MONSENHOR AIROSA)",41.542270,-8.424758,1
283,"CONS LOBATO (TRAVESSA)",41.542904,-8.422169,1
284,"CONS LOBATO (FUJACAL)",41.543656,-8.419375,1
285,"CONS LOBATO (FUJACAL)",41.543569,-8.419359,1
286,"RAIO (JOÃO PENHA)",41.549164,-8.421299,1
287,"ANTÓNIO B M JUNIOR (ELÍSIO DE MOURA)",41.557726,-8.408844,1
288,"ANTÓNIO B M JUNIOR (BAIRRO SOCIAL)",41.557661,-8.410891,1
289,"S MARTINHO (PASSAL)",41.566206,-8.433386,1
290,"RAFAEL B PINHEIRO II",41.571146,-8.406037,1
291,"BOAVISTA",41.560872,-8.479233,2
292,"BOAVISTA",41.560861,-8.479311,2
293,"DEVESA",41.542124,-8.416765,1
294,"SANTO ADRIÃO ( ALBERTO SAMPAIO)",41.542073,-8.414531,1
295,"SANTO ADRIÃO ( ALBERTO SAMPAIO)",41.542296,-8.414777,1
296,"QUINTA DA CAPELA (FORÇAS ARMADAS)",41.538887,-8.409676,1
297,"COR ALBINO RODRIGUES",41.539138,-8.407000,1
300,"ROBERT SMITH I",41.541849,-8.400117,1
301,"ROBERT SMITH I",41.542012,-8.401064,1
303,"FUJACAL II",41.544313,-8.423668,1
304,"MONSENHOR AIROSA",41.541924,-8.425297,1
305,"FALPERRA I (SANTO ADRIÃO)",41.539142,-8.411590,1
306,"FALPERRA I (SANTO ADRIÃO)",41.539639,-8.411602,1
307,"FALPERRA II",41.535915,-8.409388,1
308,"FREI J VILAÇA",41.534821,-8.441916,1
309,"PADRE CRUZ (IGREJA)",41.535397,-8.439498,1
310,"PADRE CRUZ (LIVRAMENTO)",41.536924,-8.438857,1
311,"PADRE CRUZ (CRUZEIRO)",41.538630,-8.438256,1
312,"PADRE CRUZ (P FALCÕES)",41.541032,-8.437048,1
313,"PADRE CRUZ (MOURA COUTINHO)",41.543211,-8.434718,1
314,"PADRE CRUZ (MOURA COUTINHO)",41.543104,-8.435052,1
315,"PADRE CRUZ (P FALCÕES)",41.541210,-8.437048,1
316,"PADRE CRUZ (CRUZEIRO)",41.538107,-8.438581,1
317,"PADRE CRUZ (LIVRAMENTO)",41.536954,-8.438964,1
318,"SAMPAIO PIMENTEL",41.539430,-8.438770,1
319,"VERDOSAS (B ALEGRIA)",41.565467,-8.402636,1
320,"VERDOSAS (B ALEGRIA)",41.565372,-8.402811,1
321,"ÓRFÃOS S CAETANO (ESCOLA)",41.542065,-8.442417,1
322,"JUSTIÇA",41.547779,-8.412943,1
323,"MACHADO VILELA I",41.546856,-8.411311,1
324,"MACHADO VILELA II",41.548473,-8.410983,1
328,"ABADE LOUREIRA",41.556968,-8.427182,1
329,"ABADE LOUREIRA",41.557012,-8.427049,1
330,"SOUTO I",41.484289,-8.507064,2
331,"FRANCISCO NORONHA",41.559853,-8.425997,1
332,"SOUTO I",41.484269,-8.506986,2
333,"EGÍDIO GUIMARÃES I",41.544434,-8.401894,1
334,"ANTÓNIO MARIZ",41.549872,-8.402310,1
335,"LUÍS A CORREIA (RESIDÊNCIA UNIVERSITÁRIA)",41.551832,-8.400648,1
337,"ANTÓNIO MARIZ",41.549831,-8.402207,1
339,"LUÍS A CORREIA (RESIDÊNCIA UNIVERSITÁRIA)",41.551830,-8.400511,1
340,"BAIXO",41.546280,-8.411749,1
341,"SENHOR SOCORRO I",41.572193,-8.422521,1
342,"SENHOR SOCORRO I",41.572312,-8.422549,1
343,"CÁVADO I",41.573579,-8.423849,1
344,"CÁVADO I",41.572648,-8.423534,1
345,"SOUTO II",41.481525,-8.506458,2
346,"CACHADA I",41.480000,-8.509528,2
348,"MÁRIO ALMEIDA II",41.562710,-8.420646,1
349,"MÁRIO ALMEIDA I",41.561519,-8.421216,1
350,"ANTÓNIO FREIRE",41.560150,-8.422728,1
353,"S. JOSÉ",41.559972,-8.409000,1
355,"NASCENTE",41.545652,-8.407985,1
360,"BELA VISTA III",41.571928,-8.372841,1
362,"S JOSÉ",41.559878,-8.408878,1
365,"RECTA FEITAL IV",41.560803,-8.445459,1
366,"LUÍS A CORREIA ",41.553228,-8.396175,1
367,"RECH IMPÉRIO (NOGUEIRA)",41.527780,-8.417930,1
368,"BAIRRO SOC ENGUARDAS",41.558791,-8.410139,1
369,"CACHADA II",41.477700,-8.513683,2
370,"UNIVERSIDADE DO MINHO I",41.557581,-8.397568,1
371,"UNIVERSIDADE DO MINHO I",41.557410,-8.397774,1
372,"FEIRA (MONTÉLIOS)",41.555016,-8.438075,1
373,"MACHADO OWEN (RESIDÊNCIA UM I)",41.545205,-8.407564,1
374,"DOMINGOS PEREIRA",41.563134,-8.410929,1
375,"DOMINGOS PEREIRA",41.563152,-8.411000,1
376,"QUINTA PASSOS I",41.564557,-8.409268,1
377,"QUINTA PASSOS I",41.564588,-8.409329,1
378,"QUINTA PASSOS II",41.565556,-8.407887,1
379,"QUINTA PASSOS II",41.565598,-8.407968,1
380,"FREI CIPRIANO",41.534577,-8.440212,1
381,"FREI CIPRIANO",41.533371,-8.439711,1
382,"REAL I",41.479308,-8.511514,2
383,"JOÃO XXI (31 DE JANEIRO II)",41.548534,-8.416150,1
384,"REAL II",41.480447,-8.510592,2
385,"REAL III",41.482369,-8.509028,2
386,"RECTA FEITAL IV",41.560768,-8.445498,1
388,"AMBRÓSIO SANTOS",41.545068,-8.401115,1
389,"PAÇO I",41.499061,-8.441975,2
390,"SIMÕES ALMEIDA I",41.542056,-8.409888,1
391,"SIMÕES ALMEIDA I",41.542173,-8.409861,1
392,"S MARTINHO (BAIRRO)",41.558602,-8.432689,1
393,"GUALTAR II",41.560346,-8.394456,1
394,"GUALTAR",41.560483,-8.393981,1
395,"TEÓFILO BRAGA",41.536509,-8.408483,1
396,"PORFÍRIO SILVA",41.543637,-8.411674,1
397,"PORFÍRIO SILVA",41.543539,-8.411468,1
398,"ROBERT SMITH II",41.541400,-8.405808,1
399,"AREAL CIMA III",41.566313,-8.411009,1
400,"AREAL CIMA II",41.564936,-8.411972,1
401,"VIRIATO A NUNES I",41.538214,-8.418894,1
402,"AREAL CIMA IV ",41.567796,-8.409040,1
403,"COUTEIRO",41.539145,-8.428205,1
404,"MOUTA I ",41.535777,-8.429575,1
406,"RAFAEL B PINHEIRO I",41.569664,-8.406967,1
407,"MOUTA II ",41.534256,-8.429941,1
408,"BARROS E SOARES II",41.534345,-8.420687,1
410,"ESPÍRITO SANTO II ",41.533088,-8.403410,1
411,"JOÃO XXI (D MARIA II)",41.547642,-8.417577,1
412,"CARMO III (VIEIRA)",41.587306,-8.456719,2
413,"FORMIGUEIRA II",41.560247,-8.454640,1
414,"FORMIGUEIRA II",41.560216,-8.454736,1
415,"FORMIGUEIRA I",41.559402,-8.452400,1
416,"FORMIGUEIRA I",41.559342,-8.452512,1
417,"CARREIRA I ",41.544734,-8.398170,1
418,"IGREJA II ",41.544887,-8.398301,1
419,"ESPIRITO SANTO II",41.533142,-8.403497,1
420,"PINHEIRO I",41.546446,-8.393306,1
421,"PINHEIRO I",41.546498,-8.393296,1
422,"PINHEIRO II",41.546047,-8.391214,1
423,"PINHEIRO II",41.546103,-8.391181,1
424,"GROIAS I",41.545867,-8.389347,1
425,"GROIAS I",41.545879,-8.389420,1
426,"GROIAS II (P MANSO)",41.547339,-8.389343,1
427,"GROIAS II (P MANSO)",41.547288,-8.389398,1
428,"SANTA TERESA",41.548552,-8.388412,1
429,"SANTA TERESA",41.548593,-8.388473,1
430,"S SALVADOR",41.550052,-8.388421,1
431,"DADIM II",41.547231,-8.384377,1
432,"DADIM II",41.547289,-8.384385,1
433,"DADIM I ",41.547822,-8.386842,1
434,"DADIM I",41.547866,-8.386833,1
435,"IGREJA I",41.545181,-8.396161,1
436,"CAMPO II ",41.574677,-8.358708,2
437,"CAMPO II ",41.574748,-8.358692,2
438,"CAMPO I",41.574658,-8.361394,2
439,"CAMPO I ",41.574256,-8.360583,2
440,"PINHEIRO VELHO III",41.574155,-8.364011,2
441,"PINHEIRO VELHO III",41.574123,-8.363974,2
442,"PINHEIRO VELHO II",41.573397,-8.366729,2
443,"PINHEIRO VELHO II",41.573307,-8.366581,2
444,"PINHEIRO VELHO I",41.573763,-8.367479,2
445,"PINHEIRO VELHO I",41.573693,-8.367509,2
446,"MARCO (LIMITE 2/1)",41.573311,-8.369574,2
447,"MARCO (LIMITE 1/2)",41.573260,-8.369529,1
449,"BELA VISTA I (LIMITE 2/1)",41.571904,-8.372853,2
450,"BELA VISTA II",41.570668,-8.376483,1
451,"BELA VISTA II",41.570735,-8.376502,1
452,"BELA VISTA I",41.569827,-8.378369,1
453,"BELA VISTA I",41.569839,-8.378532,1
454,"INFANTE D HENRIQUE II",41.568462,-8.380777,1
455,"INFANTE D HENRIQUE II ",41.568541,-8.380842,1
456,"INFANTE D HENRIQUE I",41.567334,-8.383942,1
457,"INFANTE D HENRIQUE I",41.567404,-8.384000,1
458,"LAMEIRA ",41.566255,-8.386126,1
459,"LAMEIRA",41.566252,-8.386427,1
460,"ROBERT SMITH II",41.541256,-8.405275,1
461,"CIDADE PORTO IV",41.532465,-8.439392,1
462,"CIDADE PORTO IV",41.532295,-8.439378,1
463,"CIDADE PORTO V",41.530358,-8.442168,1
464,"CIDADE PORTO V",41.530595,-8.441323,1
465,"CIDADE PORTO VI",41.529679,-8.445311,1
466,"CIDADE PORTO VI ",41.529597,-8.445064,1
467,"MARIA D SILVA (LIMITE 1/2)",41.526209,-8.448233,1
469,"ANTÓNIO CABRAL (LIMITE 2/1)",41.525598,-8.448447,2
470,"ANTÓNIO CABRAL (LIMITE 1/2)",41.525299,-8.448668,1
471,"MANUEL S GOMES (LIMITE 1/2)",41.525942,-8.449012,1
472,"MANUEL S GOMES (LIMITE 2/1)",41.525873,-8.449033,2
473,"PONTE DAS TRAVES I",41.521790,-8.450798,2
474,"PONTE DAS TRAVES I",41.521829,-8.450701,2
475,"PONTE DAS TRAVES II",41.518437,-8.450704,2
476,"PONTE DAS TRAVES II",41.518429,-8.450640,2
477,"PONTE DAS TRAVES III",41.516810,-8.449814,2
478,"PONTE DAS TRAVES III ",41.516843,-8.449765,2
479,"S LOURENÇO II",41.514091,-8.450113,2
480,"S LOURENÇO II",41.514066,-8.449950,2
481,"S LOURENÇO III (CRUZAMENTO)",41.511647,-8.451446,2
482,"S LOURENÇO IV",41.508940,-8.452908,2
483,"PAULO G PINTO",41.511593,-8.453801,2
485,"S LOURENÇO IV",41.508869,-8.452779,2
489,"PIDRE ",41.574825,-8.355423,2
490,"PIDRE ",41.574881,-8.355427,2
491,"PREGAL I",41.575310,-8.351945,2
492,"PREGAL I",41.575365,-8.351975,2
493,"PREGAL II",41.575110,-8.349232,2
494,"PREGAL II",41.575163,-8.349231,2
495,"AGRINHA I",41.531625,-8.415966,1
496,"AGRINHA II ",41.529723,-8.416095,1
497,"AGRINHA II",41.529696,-8.416042,1
498,"BAIRRO I",41.528002,-8.416580,1
499,"BAIRRO I",41.528019,-8.416513,1
500,"BAIRRO II",41.527187,-8.415464,1
501,"BAIRRO II ",41.527144,-8.415517,1
502,"IGREJA II",41.525835,-8.413716,1
503,"IGREJA II",41.525883,-8.413709,1
504,"IGREJA III",41.527548,-8.410749,1
506,"AGRELO",41.528472,-8.410184,1
507,"AGRELO ",41.528476,-8.410263,1
508,"BARREIROS II",41.532746,-8.410493,1
509,"BARREIROS II",41.532422,-8.410419,1
510,"CRUZEIRO ",41.534095,-8.410266,1
511,"CRUZEIRO ",41.534147,-8.410089,1
512,"PENOUÇOS I",41.532700,-8.408682,1
513,"PENOUÇOS I",41.532727,-8.408606,1
514,"PENOUÇOS II",41.532013,-8.408015,1
515,"PENOUÇOS II",41.532041,-8.407922,1
516,"PENOUÇOS III",41.531112,-8.406263,1
517,"PENOUÇOS III ",41.531199,-8.406265,1
518,"ESPIRITO SANTO I ",41.531496,-8.402752,1
519,"ESPIRITO SANTO I",41.531498,-8.402892,1
520,"FALPERRA IV (ESPÍRITO SANTO)",41.532958,-8.402465,1
521,"FALPERRA IV (ESPÍRITO SANTO)",41.533297,-8.402698,1
